,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,A,be,phi,region_id,segment_index
38,38,0.452852794142209,0.38161258609013,0.215586301728324,0.435546288136301,0.737399449201878,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
39,39,0.460787849478914,0.38399202406739,0.220795993002966,0.449380499634656,0.728002625537029,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
40,40,0.467919408221059,0.40356903727205,0.225365551136312,0.462161377539554,0.719613001035203,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
41,41,0.474338341644538,0.44067288521918,0.229272596922126,0.473854391477481,0.712285352794349,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
42,42,0.479885360061373,0.48660848138086,0.232821028962217,0.484648562044425,0.70529288558622,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
43,43,0.484529950145239,0.52814982907088,0.236165388497779,0.494636346281366,0.698355390789786,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
44,44,0.48839622568696,0.55577433981289,0.239237377245097,0.503795594624134,0.691667882246611,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
45,45,0.491799564916822,0.56852978677299,0.241745860717229,0.511989552889444,0.685900588300766,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
46,46,0.494897027229026,0.57189394694676,0.243623705778349,0.519212712002054,0.681228232465053,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
47,47,0.497527697076161,0.57198597059457,0.245290879949028,0.525695384830138,0.676942957684276,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
48,48,0.499711222718423,0.57139891397501,0.246895236733837,0.531531908004611,0.672880744233809,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
49,49,0.50151217386977,0.56892791827494,0.248411032968353,0.536763187620247,0.669073273141744,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
50,50,0.503049792804627,0.56195401713201,0.249638928819159,0.541376699235688,0.665747926188888,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
51,51,0.504410133535556,0.54868704163772,0.250494527796895,0.545391868900907,0.663006310898078,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
52,52,0.505563572784553,0.5285950568206,0.251237393619707,0.54892774632453,0.660569046724848,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
53,53,0.506528200123817,0.50244795240589,0.25193743725602,0.552047350414851,0.658357750334853,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
54,54,0.507330451142105,0.47338068895332,0.252600127787838,0.554795625207336,0.65635072969696,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
55,55,0.508006696480853,0.44704795303783,0.253167190348665,0.557199647296591,0.654582201826696,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
56,56,0.508596217630642,0.42873951163745,0.253553754898,0.559278091524712,0.653108644879271,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
57,57,0.509102608333994,0.41988803625282,0.253845428871414,0.5610835896498,0.651845542552486,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
58,58,0.509532512187735,0.41787251554456,0.254116075277361,0.562656732035957,0.650730761939237,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
59,59,0.509894580183691,0.41892614385671,0.254398914731795,0.56402937917408,0.649729415107714,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
60,60,0.510198122714492,0.42095372679165,0.254693130672204,0.565226803376049,0.64882696948698,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
61,61,0.510453447800422,0.42405351381358,0.254963869357615,0.566267688774728,0.64802924786698,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
62,62,0.510672109876591,0.42909912919783,0.255142239868591,0.567164131323961,0.647362428398534,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
63,63,0.510835001988687,0.4365297235105,0.255196093906823,0.567952268579385,0.646777289918946,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
64,64,0.510950184282963,0.44652753461448,0.255211442260555,0.568651392500838,0.646233939343833,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
65,65,0.511061634318739,0.4597439584718,0.255247012144843,0.569247625364594,0.645780238696799,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
66,66,0.511194230752422,0.47753140941388,0.255334986309275,0.569738333854992,0.645438273351233,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
67,67,0.511353592172476,0.50122209710994,0.255481017048235,0.570132142960191,0.645204313066811,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
68,68,0.511525996950567,0.53053511834155,0.255664226200913,0.570448935972171,0.64504881198949,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
69,69,0.511678357168266,0.56226554690512,0.255837205151295,0.570719854486737,0.644916408651515,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
70,70,0.511758213218004,0.59149458178508,0.255926014828173,0.570987298403513,0.644725925971414,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
71,71,0.511758199006468,0.61526531281962,0.255913177910519,0.571263031716058,0.64446290767201,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
72,72,0.511770414531565,0.63547648632122,0.255904597517612,0.571491930374862,0.644259396600479,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
73,73,0.511793296189728,0.65803240472666,0.255895735495724,0.571679626144291,0.644109463730565,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
74,74,0.511818784002904,0.68818007803138,0.255893734190417,0.571837702960658,0.643989154353816,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
75,75,0.566478619340857,0.72571129235167,0.255893734190417,0.571837702960658,0.643989154353816,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
76,76,0.675969186650333,0.7643273760649,0.278658749994234,0.581456845051545,0.746639166943566,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
77,77,0.763163711040543,0.79772394451375,0.311541861258417,0.607023524599092,0.797502758821928,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
78,78,0.834106800990663,0.82666172315672,0.346801860034533,0.642141446365263,0.816263370344707,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
79,79,0.89393483081485,0.85918339945799,0.381391651248456,0.682955751525643,0.817408565419279,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
