,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
28,28,0.309044244445685,0.35149354947661,0.122707477472105,0.263885299320168,0.848180652839318,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
29,29,0.32819264917805,0.35831609361064,0.137285595814769,0.281837076809885,0.837932394761167,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
30,30,0.346257692501312,0.36185664528255,0.14976257635965,0.300330597244777,0.826885117674997,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
31,31,0.363190055242382,0.36513802259745,0.16079495183051,0.31915259960945,0.814981288025181,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
32,32,0.379187052678162,0.37071856631524,0.170709901118455,0.337933366214885,0.803286936484264,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
33,33,0.394236965181504,0.37945475201232,0.179757787948097,0.356458211549588,0.791960093922544,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
34,34,0.408135038358446,0.38946103354551,0.188088690109811,0.374649010441195,0.78056523554202,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
35,35,0.420884182848353,0.39626542479711,0.195762886994054,0.392321573806206,0.769352757286498,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
36,36,0.432652712061527,0.3958602645051,0.202776240359804,0.409229108252382,0.758939370767027,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
37,37,0.443334104330186,0.38880617879787,0.209195187458776,0.425340734152236,0.749004141785513,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
